title,clean_title,clean_token,sentiment
"Keputusan penyesuaian harga BBM adalah langkah panjang pemerintah agar selamat dari resesi

#BLTBBMBantuMasyarakat #BLTBBMTepatSasaran #BLTBBM #SubsidiTepatSasaran #minyakdunia https://t.co/tQG5TfXKKe",putus sesuai harga langkah perintah selamat resesi,"['putus', 'sesuai', 'harga', 'langkah', 'perintah', 'selamat', 'resesi']",Positive
"Keputusan penyesuaian harga BBM adalah langkah panjang pemerintah agar selamat dari resesi

#BLTBBMBantuMasyarakat #BLTBBMTepatSasaran #BLTBBM #SubsidiTepatSasaran #minyakdunia https://t.co/1JNzkC161i",putus sesuai harga langkah perintah selamat resesi,"['putus', 'sesuai', 'harga', 'langkah', 'perintah', 'selamat', 'resesi']",Positive
RT @vdandre3: @Mentimoen Selain resesi juga ancaman inflasi tinggi. Beruntung China dan Indonesia inflasi relatif rendah. https://t.co/Jd3C…,resesi ancam inflasi untung china indonesia inflasi relatif rendah,"['resesi', 'ancam', 'inflasi', 'untung', 'china', 'indonesia', 'inflasi', 'relatif', 'rendah']",Negative
KTT G-20 mengembargo APBN 2022 shg s/d September 2022 anggaran yg blm terserap lbh 40%. Kenaikan Gaji PNS-TNI-Polri Pensiunan sesuai PP 15 th 2019 juga diembargo s/d 13 November blm cair. Baiknya Rakyat tdk perlu meng-elu2kan para Pemimpin Negara2 NATO penyebab Resesi Global. https://t.co/bdK1XM4nrW,embargo apbn september anggar serap naik gaji pnstnipolri pensiun sesuai embargo november cair baik rakyat elu pimpin negara nato sebab resesi global,"['embargo', 'apbn', 'september', 'anggar', 'serap', 'naik', 'gaji', 'pnstnipolri', 'pensiun', 'sesuai', 'embargo', 'november', 'cair', 'baik', 'rakyat', 'elu', 'pimpin', 'negara', 'nato', 'sebab', 'resesi', 'global']",Positive
"Dunia Hadapi Ancaman Resesi, Jokowi Sebut Kemitraan ASEAN-AS Bisa Jadi Solusi

https://t.co/PKk23hspZV",dunia hadap ancam resesi jokowi mitra aseanas solusi,"['dunia', 'hadap', 'ancam', 'resesi', 'jokowi', 'mitra', 'aseanas', 'solusi']",Negative
"RT @riiekiiie: @NegeriKolam Skenario menunda Pemilu sudah mulai ya. 
Adu domba, mengkait-kaitkan isu geopolitik international, plus isu res…",skenario tunda milu domba mengkaitkaitkan geopolitik international plus,"['skenario', 'tunda', 'milu', 'domba', 'mengkaitkaitkan', 'geopolitik', 'international', 'plus']",Neutral
"RT @freestranger24: #PHKDeritaRakyat  
#PHKDeritaRakyat 
@Abul07754639
@LkmnOkterman
@seanC37866888
@Jatayu_45
@KalaHitam777
@There91194264…",,[],Neutral
[Daftar] Daftar negara yg mendapat suntikan dana menjelang resesi 2023 https://t.co/lK7YLYGB4n #Video #2023 #daftar #dana https://t.co/TOga32fZ30,daftar daftar negara sunti dana jelang resesi,"['daftar', 'daftar', 'negara', 'sunti', 'dana', 'jelang', 'resesi']",Negative
Penting G-20 akhiri perang Rusia-Ukraina yg akibatkan Resesi Ekonomi Global krn Rusia mengembargo distribusi Minyak-Gas Alam-Gandum ke pasar dunia. Negara2 NATO hrs menahan diri tdk menarik Ukraina menjadi anggota NATO. Musim dingin bisa bunuh jt-an Warga yg tiada Pangan &amp; Energi https://t.co/1Ou5ebYjz7,perang rusiaukraina akibat resesi ekonomi global rusia embargo distribusi minyakgas alamgandum pasar dunia negara nato tahan tarik ukraina anggota nato musim dingin bunuh jtan warga tiada pangan energi,"['perang', 'rusiaukraina', 'akibat', 'resesi', 'ekonomi', 'global', 'rusia', 'embargo', 'distribusi', 'minyakgas', 'alamgandum', 'pasar', 'dunia', 'negara', 'nato', 'tahan', 'tarik', 'ukraina', 'anggota', 'nato', 'musim', 'dingin', 'bunuh', 'jtan', 'warga', 'tiada', 'pangan', 'energi']",Negative
"RT @rikisya36034558: Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/4tcl903Zrr",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"RT @rihanaaas: Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/stNUcZ2zIb",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
RT @rezasnegara: Senyumanmu membuat seluruh negara mengalami resesi global,senyum negara alami resesi global,"['senyum', 'negara', 'alami', 'resesi', 'global']",Neutral
"RT @kabarnuswantara: Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/nqycbImqvZ",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"RT @YuriEndah: Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/rdkZPTsJP8",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/nqycbImqvZ",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/4tcl903Zrr",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/rdkZPTsJP8",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"Modal Rp50 Ribu Kini Raup Omzet Jutaan, UMKM Penyelamat Ancaman Resesi 2023 https://t.co/stNUcZ2zIb",modal ribu raup omzet juta umkm selamat ancam resesi,"['modal', 'ribu', 'raup', 'omzet', 'juta', 'umkm', 'selamat', 'ancam', 'resesi']",Negative
"@tempodotco tukang bikin masalah,
tapi tetap di fasilitasi oleh rakyat,

presisi !
presisi resesi otak.",tukang bikin masalahtapi fasilitas rakyatpresisi presisi resesi otak,"['tukang', 'bikin', 'masalahtapi', 'fasilitas', 'rakyatpresisi', 'presisi', 'resesi', 'otak']",Neutral
"Takut resesi 2023? Investasi emas udah solusi paling aman!

~ A Thread https://t.co/3AWLsyTrmD",takut resesi investasi emas udah solusi aman thread,"['takut', 'resesi', 'investasi', 'emas', 'udah', 'solusi', 'aman', 'thread']",Neutral
"RT @Mentimoen: EU: Eropa sudah terjerumus dalam resesi akhir tahun 2022.

Resesi yg disebabkan oleh KEBODOHAN Eropa yg ngotot ikutan menduk…",eropa jerumus resesi resesi sebab bodoh eropa ngotot ikut duk,"['eropa', 'jerumus', 'resesi', 'resesi', 'sebab', 'bodoh', 'eropa', 'ngotot', 'ikut', 'duk']",Negative
"Info lebih lanjut bisa pantau IG ybs mengenai rese-rese resesi, dan masalah ekonomi pada umunya. 

Penting disadari, jangan mau terjebak dengan 'fear mongering' framing media dan pendengung (baca: buzzer). 💋 https://t.co/QXmxSFRQ8D https://t.co/nyScizXG0R https://t.co/nUevnWllz8",info pantau reserese resesi ekonomi umu sadar jebak fear mongering framing media dengung baca buzzer,"['info', 'pantau', 'reserese', 'resesi', 'ekonomi', 'umu', 'sadar', 'jebak', 'fear', 'mongering', 'framing', 'media', 'dengung', 'baca', 'buzzer']",Neutral
Salut sih banyak orang spending money buat nonton artis2 olahraga. Antusias pulak. Market cuan banget ini. Apa itu resesi? 😅,salut orang spending money nonton artis olahraga antusias pulak market cuan banget resesi,"['salut', 'orang', 'spending', 'money', 'nonton', 'artis', 'olahraga', 'antusias', 'pulak', 'market', 'cuan', 'banget', 'resesi']",Positive
"Dunia Hadapi Ancaman Resesi, Jokowi Sebut Kemitraan ASEAN-AS Bisa Jadi Solusi

https://t.co/PKk23hK0Rt",dunia hadap ancam resesi jokowi mitra aseanas solusi,"['dunia', 'hadap', 'ancam', 'resesi', 'jokowi', 'mitra', 'aseanas', 'solusi']",Negative
"Kata siapa resesi, mau beli #LC300 inden 4thn..beuh😪..
Apa beli #palisade aja? https://t.co/W2SdNvcHOT",resesi beli inden thnbeuhapa beli,"['resesi', 'beli', 'inden', 'thnbeuhapa', 'beli']",Negative
RT @PDemokrat: Wasekjen DPP Partai Demokrat @jansen_jsp turut mengomentari kemungkinan resesi ekonomi yg dijadikan alasan utk menunda pemil…,wasekjen partai demokrat komentar resesi ekonomi jadi alas tunda mil,"['wasekjen', 'partai', 'demokrat', 'komentar', 'resesi', 'ekonomi', 'jadi', 'alas', 'tunda', 'mil']",Negative
"RT @LiaYiiii: Private Jakarta 22 October Done 😋♥️

sengaja request 25 juta nya di kasih dalam bentuk cash, mengingat tahun depan gembor-gem…",private jakarta october done sengaja request juta kasih bentuk cash gemborgem,"['private', 'jakarta', 'october', 'done', 'sengaja', 'request', 'juta', 'kasih', 'bentuk', 'cash', 'gemborgem']",Positive
"RT @PDemokrat: Ancaman akan terjadi resesi ekonomi global tahun 2023 harus disikapi pemerintah dgn cara bijak. Salah satunya,  mencari solu…",ancam resesi ekonomi global sikap perintah bijak salah satu cari solu,"['ancam', 'resesi', 'ekonomi', 'global', 'sikap', 'perintah', 'bijak', 'salah', 'satu', 'cari', 'solu']",Negative
RT @sm4llkitten: @maiyaalfi @Disco2000an @humaninsecruel @worksfess Upah mahal konsumsi naek iklim bisnis bagus keles makanya belajar ekono…,upah mahal konsumsi naek iklim bisnis bagus les ajar ekono,"['upah', 'mahal', 'konsumsi', 'naek', 'iklim', 'bisnis', 'bagus', 'les', 'ajar', 'ekono']",Negative
@jiahanherein Demi menghadapi resesi,hadap resesi,"['hadap', 'resesi']",Negative
"@SimbokeSarah Yang terasa dampak tidak langsung dr resesi ya mereka, para bohir kadrun lakukan tight money policy shg pasukan demo berkurang job demo, berati gk ada lg nasbung + cepek utk para pendemo, tdk ada uang operasional korlap demo.",dampak langsung resesi bohir kadrun laku tight money policy pasu demo kurang demo berat nasbung cepek demo uang operasional korlap demo,"['dampak', 'langsung', 'resesi', 'bohir', 'kadrun', 'laku', 'tight', 'money', 'policy', 'pasu', 'demo', 'kurang', 'demo', 'berat', 'nasbung', 'cepek', 'demo', 'uang', 'operasional', 'korlap', 'demo']",Negative
"jog kalian percaya gak sama influencer medsos yg tiap kontennya bahas inflasi, resesi, krisis ekonomi, dll, terus ngasih tips biar bisa bertahan dengan cara bayar ikut seminar atau beli bukunya, kaya ngejual rasa takut demi cuan",percaya influencer medsos konten bahas inflasi resesi krisis ekonomi ngasih tips biar tahan bayar seminar beli buku kaya ngejual takut cuan,"['percaya', 'influencer', 'medsos', 'konten', 'bahas', 'inflasi', 'resesi', 'krisis', 'ekonomi', 'ngasih', 'tips', 'biar', 'tahan', 'bayar', 'seminar', 'beli', 'buku', 'kaya', 'ngejual', 'takut', 'cuan']",Negative
"RT @yulitasaarii___: Presiden Jokowi melakukn pertemuan dg Executive Chairman World Economic Forum (WEF) Profesor Klaus Schwab, Sabtu 12 No…",presiden jokowi melakukn temu executive chairman world economic forum profesor klaus schwab sabtu,"['presiden', 'jokowi', 'melakukn', 'temu', 'executive', 'chairman', 'world', 'economic', 'forum', 'profesor', 'klaus', 'schwab', 'sabtu']",Neutral
"RT @OdriSeva: @freestranger24 ... depresi menuju resesi 🐸⛏️ 

#PHKDeritaRakyat  
#PHKDeritaRakyat",depresi resesi,"['depresi', 'resesi']",Negative
RT @NewsArrahmah: Sanksi Anti-Rusia Penyebab Resesi Eropa https://t.co/qoOGLwjniN,sanksi antirusia sebab resesieropa,"['sanksi', 'antirusia', 'sebab', 'resesieropa']",Negative
Fokus Atasi Krisis Pangan dan Resesi Ekonomi serta Menjaga Stabilitas Kawasan Dihadirkan Indonesia dalam KTT ASEAN Plus Three #KrisisPangan https://t.co/sH8CIyCPtC,fokus atas krisis pangan resesi ekonomi jaga stabilitas kawasan hadir indonesia asean plus three,"['fokus', 'atas', 'krisis', 'pangan', 'resesi', 'ekonomi', 'jaga', 'stabilitas', 'kawasan', 'hadir', 'indonesia', 'asean', 'plus', 'three']",Negative
"RT @jokowi: ASEAN Plus Three harus fokus setidaknya terhadap tiga isu yaitu krisis pangan, resesi ekonomi, serta stabilitas keamanan dan pe…",asean plus three fokus krisis pangan resesi ekonomi stabilitas aman,"['asean', 'plus', 'three', 'fokus', 'krisis', 'pangan', 'resesi', 'ekonomi', 'stabilitas', 'aman']",Negative
RT @kozirama: Inilah kenapa Indonesia bakal selamat dari resesi. Kiamat ge selamet sigana. https://t.co/b9C9SpLV0t,indonesia selamat resesi kiamat selamet sigana,"['indonesia', 'selamat', 'resesi', 'kiamat', 'selamet', 'sigana']",Negative
5 Sektor Bisnis Ini yg Paling Rawan PHK Apabila Resesi Tiba https://t.co/G1AIVVjjQ8 #Terbaru #apabila #Berita #bisnis https://t.co/TOga32fZ30,sektor bisnis rawan resesi,"['sektor', 'bisnis', 'rawan', 'resesi']",Negative
Ekonomi Indonesia masih tumbuh sampai saat ini. Resesi who? https://t.co/s3rbgQGY2i,ekonomi indonesia tumbuh resesi,"['ekonomi', 'indonesia', 'tumbuh', 'resesi']",Negative
"Presiden Jokowi Dorong ASEAN-RRT Jaga Stabilitas Kawasan

Presiden menambahkan, ancaman resesi merupakan tantangan besar bersama dan di tengah situasi sulit seperti saat ini justru kerja sama harus makin erat. https://t.co/TpkKonD3q6",presiden jokowi dorong aseanrrt jaga stabilitas kawasanpresiden ancam resesi tantang situasi sulit kerja erat,"['presiden', 'jokowi', 'dorong', 'aseanrrt', 'jaga', 'stabilitas', 'kawasanpresiden', 'ancam', 'resesi', 'tantang', 'situasi', 'sulit', 'kerja', 'erat']",Negative
RT @gusbaster87: sebuah solusi resesi 2023 https://t.co/1MHjA342sM,solusi resesi,"['solusi', 'resesi']",Neutral
"Lantas, apa sebenarnya yang membuat ekonomi dunia sulit di tahun ini? serta bagaimana skenario terburuk apabila resesi benar-benar terjadi? Apakah Indonesia bisa bertahan? Mari kita simak pembahasan dari #datafakta berikut.
https://t.co/4ouN3XN3Ag",lantas ekonomi dunia sulit skenario buruk resesi benarbenar indonesia tahan mari simak bahas,"['lantas', 'ekonomi', 'dunia', 'sulit', 'skenario', 'buruk', 'resesi', 'benarbenar', 'indonesia', 'tahan', 'mari', 'simak', 'bahas']",Negative
"Menteri Keuangan RI, Sri Mulyani menyebut akibat kebijakan moneter yang agresif itu, laju pertumbuhan ekonomi akan terhambat sehingga ancaman resesi makin sulit terhindarkan.",menteri uang mulyani sebut akibat bijak moneter agresif laju tumbuh ekonomi hambat ancam resesi sulit hindar,"['menteri', 'uang', 'mulyani', 'sebut', 'akibat', 'bijak', 'moneter', 'agresif', 'laju', 'tumbuh', 'ekonomi', 'hambat', 'ancam', 'resesi', 'sulit', 'hindar']",Negative
"Sebagai respons terhadap inflasi yang tak terkontrol, mengakibatkan kondisi ekonomi dunia diprediksi bergerak menuju resesi global di tahun 2023.",respons inflasi kontrol akibat kondisi ekonomi dunia prediksi gerak resesi global,"['respons', 'inflasi', 'kontrol', 'akibat', 'kondisi', 'ekonomi', 'dunia', 'prediksi', 'gerak', 'resesi', 'global']",Negative
"Hari ini, kondisi ekonomi dunia semakin memperlihatkan ketidakpastian dan dihadapkan pada tantangan ancaman resesi global pada 2023 mendatang.",kondisi ekonomi dunia ketidakpastian hadap tantang ancam resesi global,"['kondisi', 'ekonomi', 'dunia', 'ketidakpastian', 'hadap', 'tantang', 'ancam', 'resesi', 'global']",Negative
@ultramansunda @beritastenggara Tujuan pembahasan ekonomi buat apa...? Resesi berjamaah.? Ningkatin inflasi stinggi2 nya secara kompak..? Kalo udah begitu yg ngerasain nya syp.? Bambang.? 🗿🤡,tuju bahas ekonomi resesi jamaah ningkatin inflasi stinggi kompak kalo udah ngerasain bambang,"['tuju', 'bahas', 'ekonomi', 'resesi', 'jamaah', 'ningkatin', 'inflasi', 'stinggi', 'kompak', 'kalo', 'udah', 'ngerasain', 'bambang']",Negative
"Pakar Ekonomi: Orang IMF telah Bicara, Indonesia hendak Selamat dari Ancaman Resesi dan juga Inflasi https://t.co/y9r1DyhKa3 #Terbaru #ekonomi #ancaman #berita https://t.co/pQbT23vpUo",pakar ekonomi orang bicara indonesia selamat ancam resesi inflasi,"['pakar', 'ekonomi', 'orang', 'bicara', 'indonesia', 'selamat', 'ancam', 'resesi', 'inflasi']",Negative
anies gagal resesi https://t.co/ZQDfobkXbA #tenggelamkananiesnasdem sulawesi barat,anies gagal resesi sulawesi barat,"['anies', 'gagal', 'resesi', 'sulawesi', 'barat']",Negative
"Dalam diskusinya, Presiden Jokowi menyinggung soal kondisi ekonomi dunia yang saat ini masih menghadapi situasi yang sulit ditambah dengan adanya ancaman resesi ekonomi dunia tahun depan.

𝗝𝗼𝗸𝗼𝘄𝗶 𝗣𝗿𝗼 𝗛𝘂𝗯𝘂𝗻𝗴𝗮𝗻 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘀𝗶𝗼𝗻𝗮𝗹 https://t.co/OCX575DUeP",diskusi presiden jokowi singgung kondisi ekonomi dunia hadap situasi sulit tambah ancam resesi ekonomi dunia,"['diskusi', 'presiden', 'jokowi', 'singgung', 'kondisi', 'ekonomi', 'dunia', 'hadap', 'situasi', 'sulit', 'tambah', 'ancam', 'resesi', 'ekonomi', 'dunia']",Negative
"@d3vilicious Daripada di Inggris ga bisa makan sama resesi😂 singapura kemahalan, barat resesi semua juga",inggris makan resesi singapura mahal barat resesi,"['inggris', 'makan', 'resesi', 'singapura', 'mahal', 'barat', 'resesi']",Negative
"Bakal Terjadi Transfer Kekayaan Bila Resesi 2023, Sudah Siapkah? https://t.co/IEZ05QxoAs",transfer kaya resesi siap,"['transfer', 'kaya', 'resesi', 'siap']",Neutral
"@BoyzFess_ Owh omset kamu apa omset tempat kerja kamu tuh bun? Setau gw yg beneran omsetnya segini (usaha dia sendiri) lagi pusing isu resesi 2023, mikir mau diputer apa lagi buat modal atu beli2 barang, mikir udah nutup belom bayar2 kewajiban, dan udh gak udh gak butuh validasi",omset omset kerja tau beneran omset gin usaha pusing resesi mikir puter modal beli barang mikir udah nutup bom bayar wajib butuh validasi,"['omset', 'omset', 'kerja', 'tau', 'beneran', 'omset', 'gin', 'usaha', 'pusing', 'resesi', 'mikir', 'puter', 'modal', 'beli', 'barang', 'mikir', 'udah', 'nutup', 'bom', 'bayar', 'wajib', 'butuh', 'validasi']",Negative
Pengamat ekonomi Universitas Jember (Unej) Adhitya Wardhono PhD mengatakan resesi ekonomi global perlu diwaspadai tetapi jangan terlalu berlebihan hingga menyebabkan masyar... https://t.co/J5ys63hAig,amat ekonomi universitas jember unej adhitya wardhono resesi ekonomi global waspada sebab masyar,"['amat', 'ekonomi', 'universitas', 'jember', 'unej', 'adhitya', 'wardhono', 'resesi', 'ekonomi', 'global', 'waspada', 'sebab', 'masyar']",Negative
@DavriDibyo Berapa tahun kira2 resesi,resesi,['resesi'],Negative
"Pakar Ekonomi: Orang IMF Sudah Bicara, Indonesia akan Selamat dari Ancaman Resesi dan Inflasi https://t.co/w9EdxEkHXl",pakar ekonomi orang bicara indonesia selamat ancam resesi inflasi,"['pakar', 'ekonomi', 'orang', 'bicara', 'indonesia', 'selamat', 'ancam', 'resesi', 'inflasi']",Negative
"Penting Rakyat Indonesia tdk perlu me-ngelu2kan para Pemimpin Negara2 anggota NATO penyulut perang Ukraina-Rusia yg sebabkan Resesi Ekonomi Global akibat Rusia mengembargo distribusi Minyak-Gas Alam-Gandum di pasar dunia. Jasmerah, mereka dulu juga mantan Penjajah Negara2 AA. https://t.co/GePu4dIy2J",rakyat indonesia elu pimpin negara anggota nato sulut perang ukrainarusia sebab resesi ekonomi global akibat rusia embargo distribusi minyakgas alamgandum pasar dunia jasmerah mantan jajah negara,"['rakyat', 'indonesia', 'elu', 'pimpin', 'negara', 'anggota', 'nato', 'sulut', 'perang', 'ukrainarusia', 'sebab', 'resesi', 'ekonomi', 'global', 'akibat', 'rusia', 'embargo', 'distribusi', 'minyakgas', 'alamgandum', 'pasar', 'dunia', 'jasmerah', 'mantan', 'jajah', 'negara']",Negative
"@jokowi Beri semangat rakyat ,bukan menakuti dengan kata resesi terus menerus,Bung Karno saja bisa,sklpun pernah negara menderita tdk ada pangan saat kemerdekaan...",semangat rakyat takut resesi menerusbung karno bisasklpun negara derita pangan merdeka,"['semangat', 'rakyat', 'takut', 'resesi', 'menerusbung', 'karno', 'bisasklpun', 'negara', 'derita', 'pangan', 'merdeka']",Negative
"@jokowi Bapak dikelilingi orang orang pintar ,hrsnya mereka menganalisa dilapangan ,kumpulkan data data baik akademisi maupun intelijen disetiap negara,shg bapak bisa mencari solusi dan keputusan yg tepat dari data tsbt menghadapi resesi,jgn hanya bertumpu dgn 1 referensi saja dr teori.",keliling orang orang pintar hrsnya menganalisa lapang kumpul data data akademisi intelijen tiap negarashg cari solusi putus data tsbt hadap resesijgn tumpu referensi teori,"['keliling', 'orang', 'orang', 'pintar', 'hrsnya', 'menganalisa', 'lapang', 'kumpul', 'data', 'data', 'akademisi', 'intelijen', 'tiap', 'negarashg', 'cari', 'solusi', 'putus', 'data', 'tsbt', 'hadap', 'resesijgn', 'tumpu', 'referensi', 'teori']",Positive
"@jokowi Jika perang Rusia dengan Ukrania selesai serta Eropa tdk memaksakan Ukrania masuk NATO,resesi tdk terjadi,ini karena PBB tdk punya daya thd USA dkk sekutunya,dan si zalensky tidak keras kepala tetap memaksakan diri negaranya masuk NATO yg note bene negaranya sdh aman dirusak sndr",perang rusia ukrania selesai eropa paksa ukrania masuk natoresesi terjadiini daya sekutunyadan zalensky keras kepala paksa negara masuk nato note bene negara aman rusak sndr,"['perang', 'rusia', 'ukrania', 'selesai', 'eropa', 'paksa', 'ukrania', 'masuk', 'natoresesi', 'terjadiini', 'daya', 'sekutunyadan', 'zalensky', 'keras', 'kepala', 'paksa', 'negara', 'masuk', 'nato', 'note', 'bene', 'negara', 'aman', 'rusak', 'sndr']",Negative
"Masa Resesi tidak masalah coba cari uang tambahan bro👍 EASY EARN adalah jaringan pemasaran #1. Dengan lebih dari $14 juta yang dibayarkan kepada 300 ribu anggota, EASY EARN
@vinevo
@KangmasNgalter @dwiko_rita
 https://t.co/XW5Or39VxW",resesi coba cari uang tambah easy earn jaring pasar juta bayar ribu anggota easy earn,"['resesi', 'coba', 'cari', 'uang', 'tambah', 'easy', 'earn', 'jaring', 'pasar', 'juta', 'bayar', 'ribu', 'anggota', 'easy', 'earn']",Negative
"@jokowi Jika resesi melanda Eropa,mereka pasti rela barter bahan pokok dgn negara yg subur spt indonesia,misal beras ditukar pesawat tempur,hrsnya solusi yg dicari negara,bukan mengumbar kata resesi ke masyarakat ,toh &gt; 50% rakyat hanya butuh pangan saat resesi ,bukan membeli mobil..",resesi landa eropamereka rela barter bahan pokok negara subur indonesiamisal beras tukar pesawat tempurhrsnya solusi cari negarabukan umbar resesi masyarakat rakyat butuh pangan resesi beli mobil,"['resesi', 'landa', 'eropamereka', 'rela', 'barter', 'bahan', 'pokok', 'negara', 'subur', 'indonesiamisal', 'beras', 'tukar', 'pesawat', 'tempurhrsnya', 'solusi', 'cari', 'negarabukan', 'umbar', 'resesi', 'masyarakat', 'rakyat', 'butuh', 'pangan', 'resesi', 'beli', 'mobil']",Negative
"@jokowi Pemerintah seharusnya tidak sering membuat takut rakyatnya dengan mengumbar kata resesi ke masyarakat,resesi yg berdampak thd Indonesia menurut saya yg akan terjadi adalah,pemasukan negara yg sebagian hilang dr manufacturing,Krn daya beli Eropa yg turun karena resesi parah",perintah takut rakyat umbar resesi masyarakatresesi dampak indonesia adalahpemasukan negara hilang manufacturingkrn daya beli eropa turun resesi parah,"['perintah', 'takut', 'rakyat', 'umbar', 'resesi', 'masyarakatresesi', 'dampak', 'indonesia', 'adalahpemasukan', 'negara', 'hilang', 'manufacturingkrn', 'daya', 'beli', 'eropa', 'turun', 'resesi', 'parah']",Negative
